OrderID,OrderDate,ShipDate,CustomerID,CustomerName,Gender,Age,City,State,Region,ProductID,ProductName,Category,SubCategory,Quantity,UnitPrice,Discount,Sales,Cost,Profit,PaymentMode,SalesPerson,Segment,Channel,Returned
1,2025-10-16,2025-10-17,C2679,Customer 2772,Male,55,Mumbai,Maharashtra,West,P532,Printer,Electronics,Office,5,161.63,0.05,767.74,565.7,202.04,Credit Card,Amit,Consumer,Online,Yes
2,2025-06-01,2025-06-06,C7873,Customer 903,Female,55,Mumbai,Maharashtra,West,P384,Headphones,Electronics,Audio,4,86.91,0.2,278.11,243.35,34.76,Credit Card,Neha,Home Office,Retail,No
3,2024-10-11,2024-10-13,C6881,Customer 1409,Female,20,Pune,Maharashtra,West,P847,Chair,Furniture,Office,2,100.45,0.0,200.9,140.63,60.27,Cash,Karan,Consumer,Retail,Yes
4,2025-07-19,2025-07-22,C4150,Customer 2886,Male,20,Kolkata,West Bengal,East,P777,Printer,Electronics,Office,10,207.75,0.1,1869.75,1454.25,415.5,Debit Card,Rahul,Consumer,Online,Yes
5,2025-01-24,2025-01-27,C4432,Customer 2746,Female,62,Bengaluru,Karnataka,South,P799,Printer,Electronics,Office,6,155.71,0.1,840.83,653.98,186.85,Credit Card,Karan,Home Office,Online,Yes
6,2024-06-16,2024-06-20,C1916,Customer 939,Male,38,Bengaluru,Karnataka,South,P510,Chair,Furniture,Office,9,106.54,0.1,862.97,671.2,191.77,UPI,Amit,Consumer,Retail,Yes
7,2025-11-02,2025-11-06,C5040,Customer 2300,Female,65,Bengaluru,Karnataka,South,P698,Printer,Electronics,Office,8,154.29,0.05,1172.6,864.02,308.58,Cash,Karan,Corporate,Retail,Yes
8,2024-05-21,2024-05-26,C3621,Customer 2788,Female,56,Bengaluru,Karnataka,South,P165,Laptop,Electronics,Computers,1,801.11,0.05,761.05,560.78,200.27,Cash,Priya,Home Office,Retail,No
9,2025-07-20,2025-07-27,C5371,Customer 2626,Female,25,Mumbai,Maharashtra,West,P400,Printer,Electronics,Office,2,193.08,0.2,308.93,270.31,38.62,Cash,Neha,Corporate,Online,No
10,2025-05-27,2025-06-03,C9317,Customer 2495,Male,27,Pune,Maharashtra,West,P482,Headphones,Electronics,Audio,2,91.86,0.1,165.35,128.6,36.75,Debit Card,Karan,Home Office,Online,No
11,2025-05-15,2025-05-16,C2290,Customer 351,Female,22,Mumbai,Maharashtra,West,P878,Chair,Furniture,Office,5,107.49,0.05,510.58,376.21,134.37,Net Banking,Neha,Consumer,Retail,Yes
12,2024-09-28,2024-10-03,C4295,Customer 2921,Female,43,Kolkata,West Bengal,East,P787,Headphones,Electronics,Audio,7,94.86,0.2,531.22,464.81,66.41,UPI,Priya,Home Office,Retail,Yes
13,2024-09-10,2024-09-12,C4608,Customer 30,Male,63,Mumbai,Maharashtra,West,P746,Chair,Furniture,Office,1,124.24,0.05,118.03,86.97,31.06,Credit Card,Neha,Consumer,Online,No
14,2024-03-13,2024-03-18,C8744,Customer 996,Female,44,Pune,Maharashtra,West,P294,Chair,Furniture,Office,8,106.28,0.05,807.73,595.17,212.56,Credit Card,Amit,Home Office,Retail,No
15,2025-03-09,2025-03-13,C1993,Customer 1650,Female,24,Bengaluru,Karnataka,South,P354,Printer,Electronics,Office,1,192.48,0.0,192.48,134.74,57.74,Debit Card,Neha,Home Office,Retail,Yes
16,2025-03-08,2025-03-10,C8260,Customer 2255,Male,21,Delhi,Delhi,North,P767,Desk,Furniture,Office,4,287.45,0.0,1149.8,804.86,344.94,Net Banking,Amit,Consumer,Online,Yes
17,2025-02-20,2025-02-24,C7209,Customer 9,Female,34,Bengaluru,Karnataka,South,P902,Phone,Electronics,Mobiles,7,580.49,0.05,3860.26,2844.4,1015.86,Cash,Rahul,Corporate,Retail,Yes
18,2024-07-13,2024-07-16,C6138,Customer 235,Male,55,Pune,Maharashtra,West,P588,Laptop,Electronics,Computers,10,766.01,0.0,7660.1,5362.07,2298.03,Net Banking,Karan,Consumer,Online,Yes
19,2024-07-09,2024-07-10,C5033,Customer 2372,Male,57,Hyderabad,Telangana,South,P183,Laptop,Electronics,Computers,4,673.06,0.2,2153.79,1884.57,269.22,Cash,Sneha,Home Office,Retail,No
20,2024-07-28,2024-08-03,C5915,Customer 1873,Female,22,Chennai,Tamil Nadu,South,P109,Chair,Furniture,Office,4,108.75,0.05,413.25,304.5,108.75,Cash,Karan,Home Office,Online,Yes
21,2025-07-04,2025-07-06,C5002,Customer 1514,Female,28,Hyderabad,Telangana,South,P548,Chair,Furniture,Office,3,140.8,0.0,422.4,295.68,126.72,Net Banking,Sneha,Corporate,Online,No
22,2025-11-10,2025-11-11,C3546,Customer 1116,Female,56,Pune,Maharashtra,West,P315,Chair,Furniture,Office,2,138.71,0.2,221.94,194.19,27.75,UPI,Neha,Home Office,Retail,No
23,2024-09-14,2024-09-21,C1058,Customer 1367,Male,58,Mumbai,Maharashtra,West,P368,Laptop,Electronics,Computers,7,792.22,0.0,5545.54,3881.88,1663.66,Debit Card,Sneha,Corporate,Retail,Yes
24,2024-04-24,2024-04-25,C3426,Customer 1761,Male,20,Chennai,Tamil Nadu,South,P415,Phone,Electronics,Mobiles,9,407.21,0.1,3298.4,2565.42,732.98,UPI,Amit,Corporate,Online,Yes
25,2025-11-13,2025-11-14,C4878,Customer 666,Male,44,Delhi,Delhi,North,P125,Headphones,Electronics,Audio,7,95.16,0.05,632.81,466.28,166.53,Debit Card,Sneha,Corporate,Retail,Yes
26,2024-09-30,2024-10-02,C8711,Customer 912,Male,47,Kolkata,West Bengal,East,P458,Printer,Electronics,Office,2,171.54,0.0,343.08,240.16,102.92,UPI,Neha,Consumer,Online,Yes
27,2025-02-12,2025-02-15,C7548,Customer 2784,Female,19,Delhi,Delhi,North,P218,Laptop,Electronics,Computers,5,658.32,0.2,2633.28,2304.12,329.16,UPI,Neha,Home Office,Retail,Yes
28,2024-04-21,2024-04-26,C2894,Customer 1578,Male,34,Bengaluru,Karnataka,South,P145,Chair,Furniture,Office,6,116.95,0.2,561.36,491.19,70.17,Cash,Amit,Home Office,Online,No
29,2025-03-17,2025-03-18,C5920,Customer 2078,Female,60,Chennai,Tamil Nadu,South,P518,Chair,Furniture,Office,10,111.07,0.0,1110.7,777.49,333.21,UPI,Priya,Home Office,Retail,Yes
30,2024-07-15,2024-07-19,C7653,Customer 2245,Male,37,Chennai,Tamil Nadu,South,P393,Desk,Furniture,Office,3,261.55,0.1,706.19,549.25,156.94,Debit Card,Priya,Home Office,Retail,No
31,2025-03-28,2025-04-01,C2389,Customer 1163,Female,23,Chennai,Tamil Nadu,South,P938,Phone,Electronics,Mobiles,9,494.64,0.05,4229.17,3116.23,1112.94,Debit Card,Sneha,Corporate,Online,Yes
32,2024-05-30,2024-05-31,C8461,Customer 1698,Male,63,Mumbai,Maharashtra,West,P813,Phone,Electronics,Mobiles,8,522.25,0.0,4178.0,2924.6,1253.4,Cash,Priya,Corporate,Online,Yes
33,2025-11-02,2025-11-08,C8611,Customer 206,Male,25,Mumbai,Maharashtra,West,P567,Laptop,Electronics,Computers,7,621.28,0.2,3479.17,3044.27,434.9,Debit Card,Priya,Home Office,Retail,No
34,2025-09-19,2025-09-26,C8305,Customer 652,Female,46,Chennai,Tamil Nadu,South,P365,Headphones,Electronics,Audio,7,90.58,0.2,507.25,443.84,63.41,Debit Card,Sneha,Corporate,Retail,Yes
